"Age";"AGE DATE (AS OF DATE)";"Aliases";"ALTERNATIVE SPELLING";"Category";"Companies";"Countries";"Deceased";"DOB";"E/I";"Editor";"Entered";"Updated";"EXTERNAL SOURCES";"Further Information";"SSN";"Passports";"IDENTIFICATION NUMBERS";"Keywords";"Linked To";"Locations";"First Name";"Last Name";"PLACE OF BIRTH";"Position";"Sub-Category";"Title";"UID"
"44";"2026/09/20";"R. Suárez;Ricardo Suárez Test";"Ricardo Suarez";"PEP";"Mock Company 8;Demo Holdings 2";"Paraguay";"";"1982-09-03";"I";"MOCK_GENERATOR";"2026/08/18";"2026/09/04";"MockSourceA;MockSourceB";"Fictitious mock record 57 for Smart Lists testing only";"99000000057";"MOCKP000057";"MOCKID0000057";"mock;test;pep";"";"Asunción;Paraguay";"Ricardo";"Suárez";"Asunción";"Business Executive";"Politically Exposed Person";"Ms";"57"
"43";"2026/09/20";"P. Rojas;Paula Rojas Test";"Paula Rojas";"SANCTION";"Mock Company 9;Demo Holdings 3";"Chile";"";"1983-10-04";"I";"MOCK_GENERATOR";"2026/08/19";"2026/09/05";"MockSourceA;MockSourceB";"Fictitious mock record 58 for Smart Lists testing only";"99000000058";"MOCKP000058";"MOCKID0000058";"mock;test;sanction";"";"Santiago;Chile";"Paula";"Rojas";"Santiago";"Government Advisor";"Sanctions";"Dr";"58"
"42";"2026/09/20";"N. Rodríguez;Nicolás Rodríguez Test";"Nicolas Rodriguez";"RISK";"Mock Company 10;Demo Holdings 4";"Brazil";"";"1984-11-05";"I";"MOCK_GENERATOR";"2026/08/20";"2026/09/06";"MockSourceA;MockSourceB";"Fictitious mock record 59 for Smart Lists testing only";"99000000059";"MOCKP000059";"MOCKID0000059";"mock;test;risk";"";"Lima;Brazil";"Nicolás";"Rodríguez";"Lima";"Former Official";"High Risk Individual";"Lic";"59"
"41";"2026/09/20";"C. García;Carolina García Test";"Carolina Garcia";"WATCHLIST";"Mock Company 1;Demo Holdings 5";"Peru";"";"1985-12-06";"I";"MOCK_GENERATOR";"2026/08/01";"2026/09/07";"MockSourceA;MockSourceB";"Fictitious mock record 60 for Smart Lists testing only";"99000000060";"MOCKP000060";"MOCKID0000060";"mock;test;watchlist";"59";"São Paulo;Peru";"Carolina";"García";"São Paulo";"Private Individual";"Watchlist";"Ing";"60"
"40";"2026/09/20";"J. Torres;Juan Torres Test";"Juan Torres";"PEP";"Mock Company 2;Demo Holdings 6";"Argentina";"";"1986-01-07";"I";"MOCK_GENERATOR";"2026/08/02";"2026/09/08";"MockSourceA;MockSourceB";"Fictitious mock record 61 for Smart Lists testing only";"99000000061";"MOCKP000061";"MOCKID0000061";"mock;test;pep";"";"Buenos Aires;Argentina";"Juan";"Torres";"Buenos Aires";"Public Official";"Politically Exposed Person";"Mr";"61"
"39";"2026/09/20";"M. Ruiz;María Ruiz Test";"Maria Ruiz";"SANCTION";"Mock Company 3;Demo Holdings 7";"Uruguay";"";"1987-02-08";"I";"MOCK_GENERATOR";"2026/08/03";"2026/09/09";"MockSourceA;MockSourceB";"Fictitious mock record 62 for Smart Lists testing only";"99000000062";"MOCKP000062";"MOCKID0000062";"mock;test;sanction";"";"Córdoba;Uruguay";"María";"Ruiz";"Córdoba";"Business Executive";"Sanctions";"Ms";"62"
"38";"2026/09/20";"C. Castro;Carlos Castro Test";"Carlos Castro";"RISK";"Mock Company 4;Demo Holdings 1";"Paraguay";"";"1988-03-09";"I";"MOCK_GENERATOR";"2026/08/04";"2026/09/10";"MockSourceA;MockSourceB";"Fictitious mock record 63 for Smart Lists testing only";"99000000063";"MOCKP000063";"MOCKID0000063";"mock;test;risk";"";"Rosario;Paraguay";"Carlos";"Castro";"Rosario";"Government Advisor";"High Risk Individual";"Dr";"63"
"37";"2026/09/20";"A. Silva;Ana Silva Test";"Ana Silva";"WATCHLIST";"Mock Company 5;Demo Holdings 2";"Chile";"";"1989-04-10";"I";"MOCK_GENERATOR";"2026/08/05";"2026/09/11";"MockSourceA;MockSourceB";"Fictitious mock record 64 for Smart Lists testing only";"99000000064";"MOCKP000064";"MOCKID0000064";"mock;test;watchlist";"";"Mendoza;Chile";"Ana";"Silva";"Mendoza";"Former Official";"Watchlist";"Lic";"64"
"36";"2026/09/20";"L. Gómez;Luis Gómez Test";"Luis Gomez";"PEP";"Mock Company 6;Demo Holdings 3";"Brazil";"";"1990-05-11";"I";"MOCK_GENERATOR";"2026/08/06";"2026/09/12";"MockSourceA;MockSourceB";"Fictitious mock record 65 for Smart Lists testing only";"99000000065";"MOCKP000065";"MOCKID0000065";"mock;test;pep";"64";"La Plata;Brazil";"Luis";"Gómez";"La Plata";"Private Individual";"Politically Exposed Person";"Ing";"65"
"35";"2026/09/20";"S. López;Sofía López Test";"Sofia Lopez";"SANCTION";"Mock Company 7;Demo Holdings 4";"Peru";"";"1991-06-12";"I";"MOCK_GENERATOR";"2026/08/07";"2026/09/13";"MockSourceA;MockSourceB";"Fictitious mock record 66 for Smart Lists testing only";"99000000066";"MOCKP000066";"MOCKID0000066";"mock;test;sanction";"";"Montevideo;Peru";"Sofía";"López";"Montevideo";"Public Official";"Sanctions";"Mr";"66"
"34";"2026/09/20";"D. Sánchez;Diego Sánchez Test";"Diego Sanchez";"RISK";"Mock Company 8;Demo Holdings 5";"Argentina";"";"1992-07-13";"I";"MOCK_GENERATOR";"2026/08/08";"2026/09/14";"MockSourceA;MockSourceB";"Fictitious mock record 67 for Smart Lists testing only";"99000000067";"MOCKP000067";"MOCKID0000067";"mock;test;risk";"";"Asunción;Argentina";"Diego";"Sánchez";"Asunción";"Business Executive";"High Risk Individual";"Ms";"67"
"33";"2026/09/20";"L. Díaz;Laura Díaz Test";"Laura Diaz";"WATCHLIST";"Mock Company 9;Demo Holdings 6";"Uruguay";"2024/01/01";"1993-08-14";"I";"MOCK_GENERATOR";"2026/08/09";"2026/09/15";"MockSourceA;MockSourceB";"Fictitious mock record 68 for Smart Lists testing only";"99000000068";"MOCKP000068";"MOCKID0000068";"mock;test;watchlist";"";"Santiago;Uruguay";"Laura";"Díaz";"Santiago";"Government Advisor";"Watchlist";"Dr";"68"
"32";"2026/09/20";"M. Benítez;Martín Benítez Test";"Martin Benitez";"PEP";"Mock Company 10;Demo Holdings 7";"Paraguay";"";"1994-09-15";"I";"MOCK_GENERATOR";"2026/08/10";"2026/09/16";"MockSourceA;MockSourceB";"Fictitious mock record 69 for Smart Lists testing only";"99000000069";"MOCKP000069";"MOCKID0000069";"mock;test;pep";"";"Lima;Paraguay";"Martín";"Benítez";"Lima";"Former Official";"Politically Exposed Person";"Lic";"69"
"66";"2026/09/20";"V. Molina;Valentina Molina Test";"Valentina Molina";"SANCTION";"Mock Company 1;Demo Holdings 1";"Chile";"";"1960-10-16";"I";"MOCK_GENERATOR";"2026/08/11";"2026/09/17";"MockSourceA;MockSourceB";"Fictitious mock record 70 for Smart Lists testing only";"99000000070";"MOCKP000070";"MOCKID0000070";"mock;test;sanction";"69";"São Paulo;Chile";"Valentina";"Molina";"São Paulo";"Private Individual";"Sanctions";"Ing";"70"
"65";"2026/09/20";"J. Pérez;Jorge Pérez Test";"Jorge Perez";"RISK";"Mock Company 2;Demo Holdings 2";"Brazil";"";"1961-11-17";"I";"MOCK_GENERATOR";"2026/08/12";"2026/09/18";"MockSourceA;MockSourceB";"Fictitious mock record 71 for Smart Lists testing only";"99000000071";"MOCKP000071";"MOCKID0000071";"mock;test;risk";"";"Buenos Aires;Brazil";"Jorge";"Pérez";"Buenos Aires";"Public Official";"High Risk Individual";"Mr";"71"
"64";"2026/09/20";"C. Fernández;Camila Fernández Test";"Camila Fernandez";"WATCHLIST";"Mock Company 3;Demo Holdings 3";"Peru";"";"1962-12-18";"I";"MOCK_GENERATOR";"2026/08/13";"2026/09/01";"MockSourceA;MockSourceB";"Fictitious mock record 72 for Smart Lists testing only";"99000000072";"MOCKP000072";"MOCKID0000072";"mock;test;watchlist";"";"Córdoba;Peru";"Camila";"Fernández";"Córdoba";"Business Executive";"Watchlist";"Ms";"72"
"63";"2026/09/20";"P. García;Pablo García Test";"Pablo Garcia";"PEP";"Mock Company 4;Demo Holdings 4";"Argentina";"";"1963-01-19";"I";"MOCK_GENERATOR";"2026/08/14";"2026/09/02";"MockSourceA;MockSourceB";"Fictitious mock record 73 for Smart Lists testing only";"99000000073";"MOCKP000073";"MOCKID0000073";"mock;test;pep";"";"Rosario;Argentina";"Pablo";"García";"Rosario";"Government Advisor";"Politically Exposed Person";"Dr";"73"
"62";"2026/09/20";"L. Torres;Lucía Torres Test";"Lucia Torres";"SANCTION";"Mock Company 5;Demo Holdings 5";"Uruguay";"";"1964-02-20";"I";"MOCK_GENERATOR";"2026/08/15";"2026/09/03";"MockSourceA;MockSourceB";"Fictitious mock record 74 for Smart Lists testing only";"99000000074";"MOCKP000074";"MOCKID0000074";"mock;test;sanction";"";"Mendoza;Uruguay";"Lucía";"Torres";"Mendoza";"Former Official";"Sanctions";"Lic";"74"
"61";"2026/09/20";"F. Ruiz;Federico Ruiz Test";"Federico Ruiz";"RISK";"Mock Company 6;Demo Holdings 6";"Paraguay";"";"1965-03-21";"I";"MOCK_GENERATOR";"2026/08/16";"2026/09/04";"MockSourceA;MockSourceB";"Fictitious mock record 75 for Smart Lists testing only";"99000000075";"MOCKP000075";"MOCKID0000075";"mock;test;risk";"74";"La Plata;Paraguay";"Federico";"Ruiz";"La Plata";"Private Individual";"High Risk Individual";"Ing";"75"
"60";"2026/09/20";"J. Castro;Julieta Castro Test";"Julieta Castro";"WATCHLIST";"Mock Company 7;Demo Holdings 7";"Chile";"";"1966-04-22";"I";"MOCK_GENERATOR";"2026/08/17";"2026/09/05";"MockSourceA;MockSourceB";"Fictitious mock record 76 for Smart Lists testing only";"99000000076";"MOCKP000076";"MOCKID0000076";"mock;test;watchlist";"";"Montevideo;Chile";"Julieta";"Castro";"Montevideo";"Public Official";"Watchlist";"Mr";"76"
"59";"2026/09/20";"R. Silva;Ricardo Silva Test";"Ricardo Silva";"PEP";"Mock Company 8;Demo Holdings 1";"Brazil";"";"1967-05-23";"I";"MOCK_GENERATOR";"2026/08/18";"2026/09/06";"MockSourceA;MockSourceB";"Fictitious mock record 77 for Smart Lists testing only";"99000000077";"MOCKP000077";"MOCKID0000077";"mock;test;pep";"";"Asunción;Brazil";"Ricardo";"Silva";"Asunción";"Business Executive";"Politically Exposed Person";"Ms";"77"
"58";"2026/09/20";"P. Gómez;Paula Gómez Test";"Paula Gomez";"SANCTION";"Mock Company 9;Demo Holdings 2";"Peru";"";"1968-06-24";"I";"MOCK_GENERATOR";"2026/08/19";"2026/09/07";"MockSourceA;MockSourceB";"Fictitious mock record 78 for Smart Lists testing only";"99000000078";"MOCKP000078";"MOCKID0000078";"mock;test;sanction";"";"Santiago;Peru";"Paula";"Gómez";"Santiago";"Government Advisor";"Sanctions";"Dr";"78"
"57";"2026/09/20";"N. López;Nicolás López Test";"Nicolas Lopez";"RISK";"Mock Company 10;Demo Holdings 3";"Argentina";"";"1969-07-25";"I";"MOCK_GENERATOR";"2026/08/20";"2026/09/08";"MockSourceA;MockSourceB";"Fictitious mock record 79 for Smart Lists testing only";"99000000079";"MOCKP000079";"MOCKID0000079";"mock;test;risk";"";"Lima;Argentina";"Nicolás";"López";"Lima";"Former Official";"High Risk Individual";"Lic";"79"
"56";"2026/09/20";"C. Romero;Carolina Romero Test";"Carolina Romero";"WATCHLIST";"Mock Company 1;Demo Holdings 4";"Uruguay";"";"1970-08-26";"I";"MOCK_GENERATOR";"2026/08/01";"2026/09/09";"MockSourceA;MockSourceB";"Fictitious mock record 80 for Smart Lists testing only";"99000000080";"MOCKP000080";"MOCKID0000080";"mock;test;watchlist";"79";"São Paulo;Uruguay";"Carolina";"Romero";"São Paulo";"Private Individual";"Watchlist";"Ing";"80"
"55";"2026/09/20";"J. Álvarez;Juan Álvarez Test";"Juan Alvarez";"PEP";"Mock Company 2;Demo Holdings 5";"Paraguay";"";"1971-09-27";"I";"MOCK_GENERATOR";"2026/08/02";"2026/09/10";"MockSourceA;MockSourceB";"Fictitious mock record 81 for Smart Lists testing only";"99000000081";"MOCKP000081";"MOCKID0000081";"mock;test;pep";"";"Buenos Aires;Paraguay";"Juan";"Álvarez";"Buenos Aires";"Public Official";"Politically Exposed Person";"Mr";"81"
"54";"2026/09/20";"M. Herrera;María Herrera Test";"Maria Herrera";"SANCTION";"Mock Company 3;Demo Holdings 6";"Chile";"";"1972-10-01";"I";"MOCK_GENERATOR";"2026/08/03";"2026/09/11";"MockSourceA;MockSourceB";"Fictitious mock record 82 for Smart Lists testing only";"99000000082";"MOCKP000082";"MOCKID0000082";"mock;test;sanction";"";"Córdoba;Chile";"María";"Herrera";"Córdoba";"Business Executive";"Sanctions";"Ms";"82"
"53";"2026/09/20";"C. Molina;Carlos Molina Test";"Carlos Molina";"RISK";"Mock Company 4;Demo Holdings 7";"Brazil";"";"1973-11-02";"I";"MOCK_GENERATOR";"2026/08/04";"2026/09/12";"MockSourceA;MockSourceB";"Fictitious mock record 83 for Smart Lists testing only";"99000000083";"MOCKP000083";"MOCKID0000083";"mock;test;risk";"";"Rosario;Brazil";"Carlos";"Molina";"Rosario";"Government Advisor";"High Risk Individual";"Dr";"83"
"52";"2026/09/20";"A. Pérez;Ana Pérez Test";"Ana Perez";"WATCHLIST";"Mock Company 5;Demo Holdings 1";"Peru";"";"1974-12-03";"I";"MOCK_GENERATOR";"2026/08/05";"2026/09/13";"MockSourceA;MockSourceB";"Fictitious mock record 84 for Smart Lists testing only";"99000000084";"MOCKP000084";"MOCKID0000084";"mock;test;watchlist";"";"Mendoza;Peru";"Ana";"Pérez";"Mendoza";"Former Official";"Watchlist";"Lic";"84"
"51";"2026/09/20";"L. Fernández;Luis Fernández Test";"Luis Fernandez";"PEP";"Mock Company 6;Demo Holdings 2";"Argentina";"2024/01/01";"1975-01-04";"I";"MOCK_GENERATOR";"2026/08/06";"2026/09/14";"MockSourceA;MockSourceB";"Fictitious mock record 85 for Smart Lists testing only";"99000000085";"MOCKP000085";"MOCKID0000085";"mock;test;pep";"84";"La Plata;Argentina";"Luis";"Fernández";"La Plata";"Private Individual";"Politically Exposed Person";"Ing";"85"
"50";"2026/09/20";"S. García;Sofía García Test";"Sofia Garcia";"SANCTION";"Mock Company 7;Demo Holdings 3";"Uruguay";"";"1976-02-05";"I";"MOCK_GENERATOR";"2026/08/07";"2026/09/15";"MockSourceA;MockSourceB";"Fictitious mock record 86 for Smart Lists testing only";"99000000086";"MOCKP000086";"MOCKID0000086";"mock;test;sanction";"";"Montevideo;Uruguay";"Sofía";"García";"Montevideo";"Public Official";"Sanctions";"Mr";"86"
"49";"2026/09/20";"D. Torres;Diego Torres Test";"Diego Torres";"RISK";"Mock Company 8;Demo Holdings 4";"Paraguay";"";"1977-03-06";"I";"MOCK_GENERATOR";"2026/08/08";"2026/09/16";"MockSourceA;MockSourceB";"Fictitious mock record 87 for Smart Lists testing only";"99000000087";"MOCKP000087";"MOCKID0000087";"mock;test;risk";"";"Asunción;Paraguay";"Diego";"Torres";"Asunción";"Business Executive";"High Risk Individual";"Ms";"87"
"48";"2026/09/20";"L. Ruiz;Laura Ruiz Test";"Laura Ruiz";"WATCHLIST";"Mock Company 9;Demo Holdings 5";"Chile";"";"1978-04-07";"I";"MOCK_GENERATOR";"2026/08/09";"2026/09/17";"MockSourceA;MockSourceB";"Fictitious mock record 88 for Smart Lists testing only";"99000000088";"MOCKP000088";"MOCKID0000088";"mock;test;watchlist";"";"Santiago;Chile";"Laura";"Ruiz";"Santiago";"Government Advisor";"Watchlist";"Dr";"88"
"47";"2026/09/20";"M. Castro;Martín Castro Test";"Martin Castro";"PEP";"Mock Company 10;Demo Holdings 6";"Brazil";"";"1979-05-08";"I";"MOCK_GENERATOR";"2026/08/10";"2026/09/18";"MockSourceA;MockSourceB";"Fictitious mock record 89 for Smart Lists testing only";"99000000089";"MOCKP000089";"MOCKID0000089";"mock;test;pep";"";"Lima;Brazil";"Martín";"Castro";"Lima";"Former Official";"Politically Exposed Person";"Lic";"89"
"46";"2026/09/20";"V. Rojas;Valentina Rojas Test";"Valentina Rojas";"SANCTION";"Mock Company 1;Demo Holdings 7";"Peru";"";"1980-06-09";"I";"MOCK_GENERATOR";"2026/08/11";"2026/09/01";"MockSourceA;MockSourceB";"Fictitious mock record 90 for Smart Lists testing only";"99000000090";"MOCKP000090";"MOCKID0000090";"mock;test;sanction";"89";"São Paulo;Peru";"Valentina";"Rojas";"São Paulo";"Private Individual";"Sanctions";"Ing";"90"
"45";"2026/09/20";"J. Rodríguez;Jorge Rodríguez Test";"Jorge Rodriguez";"RISK";"Mock Company 2;Demo Holdings 1";"Argentina";"";"1981-07-10";"I";"MOCK_GENERATOR";"2026/08/12";"2026/09/02";"MockSourceA;MockSourceB";"Fictitious mock record 91 for Smart Lists testing only";"99000000091";"MOCKP000091";"MOCKID0000091";"mock;test;risk";"";"Buenos Aires;Argentina";"Jorge";"Rodríguez";"Buenos Aires";"Public Official";"High Risk Individual";"Mr";"91"
"44";"2026/09/20";"C. Martínez;Camila Martínez Test";"Camila Martinez";"WATCHLIST";"Mock Company 3;Demo Holdings 2";"Uruguay";"";"1982-08-11";"I";"MOCK_GENERATOR";"2026/08/13";"2026/09/03";"MockSourceA;MockSourceB";"Fictitious mock record 92 for Smart Lists testing only";"99000000092";"MOCKP000092";"MOCKID0000092";"mock;test;watchlist";"";"Córdoba;Uruguay";"Camila";"Martínez";"Córdoba";"Business Executive";"Watchlist";"Ms";"92"
"43";"2026/09/20";"P. Romero;Pablo Romero Test";"Pablo Romero";"PEP";"Mock Company 4;Demo Holdings 3";"Paraguay";"";"1983-09-12";"I";"MOCK_GENERATOR";"2026/08/14";"2026/09/04";"MockSourceA;MockSourceB";"Fictitious mock record 93 for Smart Lists testing only";"99000000093";"MOCKP000093";"MOCKID0000093";"mock;test;pep";"";"Rosario;Paraguay";"Pablo";"Romero";"Rosario";"Government Advisor";"Politically Exposed Person";"Dr";"93"
"42";"2026/09/20";"L. Álvarez;Lucía Álvarez Test";"Lucia Alvarez";"SANCTION";"Mock Company 5;Demo Holdings 4";"Chile";"";"1984-10-13";"I";"MOCK_GENERATOR";"2026/08/15";"2026/09/05";"MockSourceA;MockSourceB";"Fictitious mock record 94 for Smart Lists testing only";"99000000094";"MOCKP000094";"MOCKID0000094";"mock;test;sanction";"";"Mendoza;Chile";"Lucía";"Álvarez";"Mendoza";"Former Official";"Sanctions";"Lic";"94"
"41";"2026/09/20";"F. Herrera;Federico Herrera Test";"Federico Herrera";"RISK";"Mock Company 6;Demo Holdings 5";"Brazil";"";"1985-11-14";"I";"MOCK_GENERATOR";"2026/08/16";"2026/09/06";"MockSourceA;MockSourceB";"Fictitious mock record 95 for Smart Lists testing only";"99000000095";"MOCKP000095";"MOCKID0000095";"mock;test;risk";"94";"La Plata;Brazil";"Federico";"Herrera";"La Plata";"Private Individual";"High Risk Individual";"Ing";"95"
"40";"2026/09/20";"J. Molina;Julieta Molina Test";"Julieta Molina";"WATCHLIST";"Mock Company 7;Demo Holdings 6";"Peru";"";"1986-12-15";"I";"MOCK_GENERATOR";"2026/08/17";"2026/09/07";"MockSourceA;MockSourceB";"Fictitious mock record 96 for Smart Lists testing only";"99000000096";"MOCKP000096";"MOCKID0000096";"mock;test;watchlist";"";"Montevideo;Peru";"Julieta";"Molina";"Montevideo";"Public Official";"Watchlist";"Mr";"96"
"39";"2026/09/20";"R. Pérez;Ricardo Pérez Test";"Ricardo Perez";"PEP";"Mock Company 8;Demo Holdings 7";"Argentina";"";"1987-01-16";"I";"MOCK_GENERATOR";"2026/08/18";"2026/09/08";"MockSourceA;MockSourceB";"Fictitious mock record 97 for Smart Lists testing only";"99000000097";"MOCKP000097";"MOCKID0000097";"mock;test;pep";"";"Asunción;Argentina";"Ricardo";"Pérez";"Asunción";"Business Executive";"Politically Exposed Person";"Ms";"97"
"38";"2026/09/20";"P. Fernández;Paula Fernández Test";"Paula Fernandez";"SANCTION";"Mock Company 9;Demo Holdings 1";"Uruguay";"";"1988-02-17";"I";"MOCK_GENERATOR";"2026/08/19";"2026/09/09";"MockSourceA;MockSourceB";"Fictitious mock record 98 for Smart Lists testing only";"99000000098";"MOCKP000098";"MOCKID0000098";"mock;test;sanction";"";"Santiago;Uruguay";"Paula";"Fernández";"Santiago";"Government Advisor";"Sanctions";"Dr";"98"
"37";"2026/09/20";"N. García;Nicolás García Test";"Nicolas Garcia";"RISK";"Mock Company 10;Demo Holdings 2";"Paraguay";"";"1989-03-18";"I";"MOCK_GENERATOR";"2026/08/20";"2026/09/10";"MockSourceA;MockSourceB";"Fictitious mock record 99 for Smart Lists testing only";"99000000099";"MOCKP000099";"MOCKID0000099";"mock;test;risk";"";"Lima;Paraguay";"Nicolás";"García";"Lima";"Former Official";"High Risk Individual";"Lic";"99"
"36";"2026/09/20";"C. Díaz;Carolina Díaz Test";"Carolina Diaz";"WATCHLIST";"Mock Company 1;Demo Holdings 3";"Chile";"";"1990-04-19";"I";"MOCK_GENERATOR";"2026/08/01";"2026/09/11";"MockSourceA;MockSourceB";"Fictitious mock record 100 for Smart Lists testing only";"99000000100";"MOCKP000100";"MOCKID0000100";"mock;test;watchlist";"99";"São Paulo;Chile";"Carolina";"Díaz";"São Paulo";"Private Individual";"Watchlist";"Ing";"100"
